uwbtime,uwbx,uwby,uwbz
1.42305,1.22817,0.00837248,0.0216084
1.43966,1.22493,0.0139435,0.057387
1.47318,1.22588,0.028313,0.0990569
1.48954,1.22811,0.0321029,0.115342
1.50617,1.23817,0.0343188,0.122425
1.52321,1.24699,0.0367883,0.129449
1.53961,1.25606,0.0345246,0.136888
1.55604,1.26242,0.0336636,0.148521
1.57277,1.27222,0.0323804,0.166714
1.58969,1.2826,0.0318312,0.181102
1.60612,1.29135,0.0269676,0.193074
1.62253,1.29955,0.0218719,0.205491
1.63916,1.31448,0.0192815,0.21798
1.67256,1.3347,0.00986295,0.270667
1.68922,1.3442,0.0040507,0.288749
1.72228,1.35682,-0.00245334,0.33179
1.73898,1.36032,-0.00925465,0.34143
1.75573,1.36546,-0.0171961,0.357007
1.77215,1.36884,-0.0210861,0.35924
1.78878,1.36956,-0.0261534,0.369121
1.80543,1.37287,-0.0298108,0.375421
1.82223,1.37345,-0.034149,0.385811
1.83864,1.37912,-0.0372797,0.386797
1.8719,1.38549,-0.0399743,0.40373
1.90532,1.38911,-0.0493746,0.427833
1.92176,1.38294,-0.0552062,0.433435
1.93839,1.38384,-0.0562166,0.426519
1.95507,1.38359,-0.0534362,0.426761
1.97208,1.3775,-0.0554856,0.419489
2.00488,1.37571,-0.0602647,0.440207
2.02152,1.37363,-0.0601356,0.42424
2.03831,1.36973,-0.0586768,0.411403
2.05476,1.3668,-0.0562279,0.397245
2.07139,1.35679,-0.054188,0.380137
2.08801,1.35616,-0.0557094,0.390838
2.12145,1.34081,-0.0544693,0.391662
2.13787,1.32867,-0.0534043,0.382654
2.15452,1.32544,-0.0491364,0.368174
2.17118,1.32024,-0.0482682,0.355633
2.18795,1.31402,-0.0469238,0.349303
2.20437,1.3067,-0.04667,0.343677
2.22099,1.30031,-0.0428322,0.333979
2.23762,1.29597,-0.038808,0.326729
2.2544,1.28539,-0.0355152,0.324375
2.27109,1.28527,-0.0322883,0.316555
2.30412,1.27789,-0.0251749,0.322311
2.32086,1.27417,-0.0202908,0.311489
2.33756,1.27339,-0.015496,0.310284
2.354,1.27201,-0.0108494,0.302626
2.37063,1.27428,-0.00866571,0.300103
2.38728,1.2762,-0.00981675,0.300377
2.4041,1.281,-0.00604058,0.287625
2.42048,1.28164,-0.0029466,0.282392
2.43755,1.28392,0.00221242,0.280597
2.45373,1.28551,0.00252966,0.271323
2.47049,1.282,0.00968362,0.261678
2.48717,1.28322,0.0131372,0.251505
2.5036,1.28487,0.0150007,0.237333
2.52023,1.28247,0.0142647,0.231753
2.53693,1.28177,0.0157167,0.215545
2.55361,1.27594,0.0145665,0.20289
2.5701,1.26976,0.0189902,0.197386
2.58674,1.25816,0.0195832,0.18891
2.62018,1.2448,0.02277,0.181136
2.63679,1.23011,0.0285158,0.171291
2.65322,1.22688,0.0320414,0.15718
2.66984,1.2235,0.0320339,0.143977
2.68659,1.22385,0.037698,0.14105
2.71973,1.21291,0.0411216,0.138135
2.73634,1.20427,0.046192,0.133124
2.75301,1.20302,0.0486638,0.127834
2.78621,1.19513,0.0494726,0.117352
2.80307,1.19263,0.0515999,0.11818
2.81947,1.18864,0.0501263,0.10894
2.83629,1.19118,0.051271,0.108009
2.8527,1.18705,0.0479633,0.123258
2.86934,1.1845,0.0473457,0.119988
2.88596,1.18728,0.0422625,0.131383
2.90271,1.18356,0.0404758,0.145711
2.93583,1.17995,0.0444239,0.151383
2.96912,1.18349,0.0446598,0.153594
2.98589,1.18364,0.0442856,0.150005
3.00234,1.18793,0.0478815,0.150618
3.03557,1.1895,0.0518264,0.143796
3.05236,1.19199,0.0532682,0.149071
3.06901,1.19536,0.0540839,0.145872
3.08545,1.19566,0.0579394,0.146124
