uwbtime,uwbx,uwby,uwbz
0.043249,1.2258,-0.0215428,-0.0535353
0.059866,1.3629,-0.0197267,0.228709
0.093315,1.2503,0.00513536,0.0486872
0.10975,1.28645,-0.0270269,-0.0268234
0.126364,1.26642,0.015572,0.147534
0.143125,1.28705,-0.0091937,0.115118
0.1598,1.24285,-0.0286407,0.0966463
0.176233,1.25106,-0.0216963,0.112661
0.192866,1.28653,-0.0266326,0.0593418
0.209533,1.27677,-0.0313182,0.103224
0.226254,1.27454,0.038686,0.0178935
0.242741,1.25662,0.0144057,0.00391473
0.259367,1.27718,0.0104242,0.04805
0.275981,1.27529,0.026129,-0.0201903
0.292772,1.30742,-0.0148094,0.040436
0.309388,1.25538,-0.0170811,0.0184517
0.325852,1.22314,0.0292227,-0.0184999
0.342564,1.28245,-0.0424669,0.151052
0.3759,1.37393,0.00145907,0.117824
0.409048,1.29544,0.0115301,0.0312552
0.442417,1.29884,-0.02087,0.0944389
0.45911,1.26586,-0.0338352,0.0764401
0.47548,1.24471,-0.004179,-0.0386094
0.492113,1.29613,-0.00608201,0.0571338
0.508925,1.25597,0.0240608,0.121372
0.525499,1.28039,-0.00380628,0.0771518
0.541965,1.28952,-0.0446613,0.0445451
0.558617,1.25039,0.0173989,0.0551035
0.575296,1.26171,-0.00757861,0.0770675
0.591977,1.24518,0.0193588,0.0630572
0.608458,1.25842,0.00196566,0.0319217
0.625085,1.22507,0.0231986,0.0104681
0.641706,1.2556,-0.00884977,0.0413217
0.658503,1.25496,0.00126872,0.0933349
0.674962,1.26015,-0.00503793,0.095565
0.691593,1.27439,-0.0150763,0.038385
0.708202,1.27229,0.00583801,0.11037
0.724949,1.26868,-0.00132403,0.0748438
0.741617,1.24309,-0.00844823,0.0349417
0.758092,1.28374,0.00249429,-0.0138442
0.775035,1.26774,-0.0318872,-0.0181777
0.791401,1.3003,0.0199719,0.00946997
0.808125,1.27116,-0.0214177,0.0650729
0.824589,1.26318,0.0180844,0.106671
0.841195,1.3006,0.013507,0.0935755
0.857958,1.26023,0.0131397,0.123972
0.874642,1.23937,0.00951298,0.0838378
0.891247,1.27045,0.0146465,0.055903
0.924503,1.24938,-0.00646489,-0.0613728
0.941048,1.25143,-0.00110919,0.105681
0.974198,1.26433,0.014615,0.0994351
0.990819,1.27176,0.00761402,-0.00933863
1.00744,1.29242,-0.0217664,0.071084
1.04071,1.28963,-0.0195454,0.104355
1.05731,1.27895,-0.0103466,0.124551
1.07394,1.27488,0.00151884,0.0675971
1.09068,1.28529,-0.0228782,0.00676199
1.10736,1.2481,-0.0111486,0.000928052
1.12381,1.2759,0.00664683,-0.0197713
1.14045,1.27511,0.00121875,-0.0133463
1.15714,1.2671,-0.0172692,0.0995585
1.17383,1.27002,-0.0196589,0.0543606
1.1903,1.28033,-0.0031471,0.0319148
1.20693,1.29487,-0.0306314,0.140541
1.24044,1.26936,-0.0287036,0.0888701
1.2568,1.26552,0.0147216,-0.0286352
1.27342,1.27396,0.0250358,0.152262
1.29026,1.29751,0.0152864,0.0999536
1.30683,1.25003,-0.027766,0.00615005
1.32351,1.23485,0.0292123,-0.0214529
1.33993,1.28626,-0.0133351,0.108951
1.3733,1.21044,0.0253153,0.178194
1.38998,1.17936,0.0380328,0.214325
1.40642,1.23771,0.0580826,0.19432
1.42305,1.2024,0.00699482,0.182575
1.43966,1.19708,0.0675011,0.196209
1.47318,1.21183,0.152719,0.0163838
1.48954,1.2256,0.0635462,0.0371351
1.50617,1.30068,0.0526943,-0.0685815
1.52321,1.29428,0.0569109,-0.0573342
1.53961,1.30278,0.0125085,-0.0421311
1.55604,1.28632,0.0267965,0.0340293
1.57277,1.32865,0.0224335,0.111296
1.58969,1.34294,0.0303077,0.0810304
1.60612,1.33436,-0.0148475,0.0675008
1.62253,1.33983,-0.0211404,0.100357
1.63916,1.41806,0.00275561,0.100086
1.67256,1.44378,-0.0625864,0.341832
1.68922,1.39712,-0.0425668,0.217912
1.72228,1.41143,-0.0453522,0.275862
1.73898,1.3679,-0.0594776,0.176
1.75573,1.39048,-0.0773941,0.253801
1.77215,1.37918,-0.0434636,0.133108
1.78878,1.35692,-0.0591065,0.210939
1.80543,1.3861,-0.0501082,0.181597
1.82223,1.36293,-0.0605889,0.238327
1.83864,1.42198,-0.0539931,0.156871
1.8719,1.42266,-0.0417325,0.110588
1.90532,1.40522,-0.106626,0.235005
1.92176,1.32676,-0.0923216,0.291184
1.93839,1.39364,-0.055601,0.154632
1.95507,1.38178,-0.0200111,0.231555
1.97208,1.32898,-0.0656309,0.155755
2.00488,1.37047,-0.0856809,0.300041
2.02152,1.37428,-0.0582163,0.102763
2.03831,1.35377,-0.046268,0.127742
2.05476,1.3605,-0.0378449,0.114079
2.07139,1.29035,-0.0394764,0.0669246
2.08801,1.3665,-0.0663782,0.364739
2.12145,1.24859,-0.0453225,0.15004
2.13787,1.2494,-0.0495563,0.180087
2.15452,1.32787,-0.0219363,0.10454
2.17118,1.30481,-0.0508162,0.1173
2.18795,1.28765,-0.0428418,0.179892
2.20437,1.26856,-0.0518815,0.189707
2.22099,1.27374,-0.0182169,0.135051
2.23762,1.28825,-0.0137567,0.157229
2.2544,1.21813,-0.0153941,0.211529
2.27109,1.31866,-0.0155683,0.143529
2.30412,1.26374,0.0182022,0.228701
2.32086,1.26447,0.010593,0.114922
2.33756,1.28805,0.017293,0.21874
2.354,1.27794,0.0200666,0.149285
2.37063,1.31403,-0.00095438,0.201343
2.38728,1.31104,-0.0316639,0.234386
2.4041,1.33802,0.0182254,0.0837072
2.42048,1.29724,0.0156155,0.169994
2.43755,1.31642,0.037274,0.204446
2.45373,1.30736,-0.00798004,0.119897
2.47049,1.25271,0.0654421,0.107467
2.48717,1.30015,0.0318352,0.0982706
2.5036,1.30347,0.0192932,0.0459569
2.52023,1.26394,-0.00711637,0.142312
2.53693,1.27748,0.0175728,0.00901546
2.55361,1.22388,-0.00857356,0.043649
2.5701,1.21809,0.0515092,0.125442
2.58674,1.15462,0.0121896,0.0830972
2.62018,1.15464,0.0298786,0.0923063
2.63679,1.11314,0.0714396,0.0616218
2.65322,1.21694,0.0537347,0.00769209
2.66984,1.21392,0.0199641,0.0103767
2.68659,1.25195,0.0780959,0.12561
2.71973,1.16233,0.0465128,0.137957
2.73634,1.15328,0.0771996,0.0952827
2.75301,1.21903,0.0557975,0.0908724
2.78621,1.17853,0.0268914,0.0505631
2.80307,1.19959,0.0547854,0.148853
2.81947,1.18041,0.0243441,0.0366867
2.83629,1.24204,0.0465105,0.124941
2.8527,1.18045,0.00375335,0.307298
2.86934,1.18873,0.0306879,0.103729
2.88596,1.24239,-0.0158787,0.274787
2.90271,1.17843,0.0144006,0.314884
2.93583,1.19652,0.0659491,0.222372
2.96912,1.25233,0.0365916,0.184612
2.98589,1.20096,0.0367948,0.118824
3.00234,1.23817,0.0727879,0.162076
3.03557,1.22694,0.0717204,0.0878979
3.05236,1.22448,0.056259,0.204802
3.06901,1.23322,0.0524523,0.11755
3.08545,1.20825,0.0810845,0.15227
3.10206,1.24183,0.051865,0.268768
3.11878,1.21537,0.0372932,0.168293
3.13552,1.25055,-0.00765745,0.236269
3.16871,1.22467,0.0395021,0.178374
3.18523,1.21385,0.0220845,0.338166
3.20201,1.22657,0.0155338,0.249476
3.21863,1.20253,0.0468939,0.225367
3.23506,1.23593,0.0515593,0.154766
3.26845,1.22181,0.0224272,0.219618
3.28514,1.26833,0.0737431,0.243549
3.31818,1.2309,0.0537239,0.301853
3.35166,1.21615,0.038209,0.343379
3.36807,1.2245,0.0507895,0.308031
3.38469,1.28494,0.0449819,0.458766
3.41812,1.23853,0.037952,0.397001
3.43467,1.20177,0.0529947,0.456838
3.4678,1.17184,0.0497646,0.32475
3.48453,1.2348,0.0582488,0.349538
3.50125,1.21166,0.0474467,0.462477
3.51766,1.2253,0.0415617,0.400709
3.53431,1.20024,0.0477179,0.487026
3.55094,1.1967,0.0253452,0.376962
3.56775,1.23566,0.0492139,0.540188
3.58417,1.18624,0.0133223,0.43843
3.60079,1.2196,0.0353246,0.555272
3.61741,1.2285,0.0808401,0.458291
3.63419,1.24421,0.0370989,0.554712
3.66729,1.22337,0.0135759,0.393607
3.6839,1.25664,0.0423262,0.485729
3.70066,1.25924,0.00845541,0.560082
3.71733,1.23475,0.0402413,0.488312
3.73419,1.22202,0.0561242,0.577907
3.7504,1.30537,-0.0159103,0.677789
3.76705,1.22112,0.0475223,0.499488
3.80047,1.23483,0.0518346,0.620132
3.83353,1.24306,0.0563706,0.64315
3.85028,1.24256,0.0243758,0.594233
3.88341,1.2674,0.0072564,0.632684
3.90002,1.20447,0.0111796,0.610919
3.91675,1.24316,0.017665,0.720086
3.93345,1.26518,0.0538589,0.640203
3.94989,1.25111,0.0486181,0.629813
3.96651,1.25567,0.018145,0.728694
3.98315,1.27301,0.0244841,0.715907
3.99996,1.29286,0.0299887,0.72171
4.01658,1.30518,0.0241051,0.754001
4.03303,1.25156,-0.000937334,0.744555
4.04975,1.24014,0.0104873,0.787069
4.06636,1.2571,0.037448,0.774429
4.08309,1.26893,0.0146672,0.790932
4.09951,1.29888,0.0210258,0.84612
4.11614,1.22928,-0.00617884,0.720609
4.13281,1.29014,0.0149948,0.915858
4.14962,1.26259,0.0328127,0.876616
4.166,1.249,0.0218961,0.801174
4.18263,1.25404,0.00672199,0.826564
4.19954,1.22964,0.00917275,0.787589
4.21612,1.28325,0.0254429,0.865611
4.23271,1.26097,0.0325332,0.836918
4.24912,1.28779,0.000511727,0.956564
4.26575,1.2451,0.0631902,0.878175
4.28244,1.29076,-0.00286486,0.890915
4.29921,1.23472,0.00382824,0.901591
4.31563,1.29624,0.0106395,0.993375
4.33225,1.27216,0.0507395,0.983495
4.34886,1.27571,0.0200446,0.914265
4.36569,1.26151,0.0182573,0.877019
4.38241,1.26425,0.00542619,0.993899
4.39876,1.24367,0.0292133,0.994403
4.41559,1.33236,0.0428493,0.90518
4.4488,1.26812,-0.00803396,1.07807
4.46524,1.30945,0.0431236,0.943418
4.49858,1.25878,0.0554802,1.03398
4.51533,1.32917,0.0447607,1.01891
4.53172,1.22904,0.0221518,1.0103
4.54846,1.2871,0.0138617,1.07382
4.5653,1.30374,-0.00235663,1.19637
4.5818,1.24567,0.0448326,1.04544
4.59845,1.28937,0.00592817,1.1433
4.61486,1.24862,0.0123934,1.05195
4.63147,1.27483,0.0314621,1.0106
4.64852,1.28204,0.0399643,1.10399
4.66491,1.30994,0.00650461,1.07819
4.68137,1.2758,0.0412269,1.15177
4.69798,1.30397,0.00151306,1.15745
4.71493,1.27962,-0.000673378,1.15109
4.73143,1.28107,0.0202471,1.21308
4.74784,1.25053,0.0279918,1.21793
4.76449,1.30996,0.0328872,1.2615
4.78112,1.27892,0.0162578,1.23199
4.79787,1.26745,-0.0427735,1.23079
4.81455,1.27275,0.0335161,1.23155
4.83096,1.26372,0.0202707,1.25042
4.84759,1.26657,0.0645019,1.21015
4.86463,1.24299,0.0363262,1.15693
4.881,1.27805,0.0265109,1.19911
4.89746,1.30695,0.0135316,1.30857
4.91418,1.25848,0.0413502,1.21739
4.93071,1.27973,-0.010692,1.20015
4.94756,1.30092,-0.0234286,1.24394
4.96397,1.27831,-0.00283858,1.22044
4.98062,1.27255,0.0119656,1.2714
4.9972,1.31631,0.0214984,1.25169
5.014,1.28221,0.0246892,1.18995
5.03074,1.34793,0.0053519,1.31978
5.04708,1.30595,-0.0176036,1.34054
5.06372,1.28594,-0.0142222,1.28742
5.08049,1.27985,0.0384676,1.28672
5.09716,1.29961,-0.00451049,1.34107
5.11357,1.3276,-0.00307544,1.38562
5.1302,1.2418,0.0264638,1.30994
5.14683,1.30861,0.00307699,1.39404
5.16397,1.28813,0.0191005,1.34206
5.18034,1.27965,0.0406101,1.39137
5.19669,1.30558,-0.00445314,1.38527
5.21351,1.29345,0.0142368,1.31164
5.23036,1.24947,0.0231372,1.40484
5.24678,1.25851,0.0186215,1.41449
5.26319,1.25079,0.0591059,1.3647
5.29683,1.21879,0.0184919,1.46108
5.32968,1.24049,0.0501393,1.40054
5.34633,1.33457,0.0277283,1.40753
5.36293,1.26915,0.0296823,1.44713
5.38005,1.25904,0.0300947,1.44453
5.39669,1.29586,-0.0205087,1.48137
5.4128,1.28227,0.021185,1.44421
5.42945,1.25302,0.0299489,1.4387
5.44614,1.29597,-0.0117678,1.46502
5.4629,1.3222,0.00110297,1.47486
5.4793,1.27065,0.0203023,1.49616
5.49592,1.28939,-0.00794025,1.50133
5.51258,1.30188,-0.0182916,1.53256
5.52938,1.3212,-0.0336513,1.46011
5.54602,1.36091,-0.0194983,1.56608
5.56242,1.27423,-0.00411259,1.44285
5.57904,1.30022,-0.0035722,1.42995
5.59586,1.25608,0.00421003,1.47383
5.6125,1.32079,0.00461818,1.5841
5.62891,1.26995,0.014341,1.55168
5.64554,1.31544,-0.00385042,1.55964
5.66253,1.2991,-0.0188999,1.657
5.67899,1.29742,-0.00013776,1.51448
5.69546,1.31148,0.00155482,1.50842
5.71206,1.31401,0.0377568,1.57284
5.71206,1.29883,0.000489437,1.58489
5.77853,1.29819,0.0699453,1.63115
5.79517,1.28722,0.0216876,1.46703
5.81196,1.30449,0.0163793,1.56432
5.82861,1.3065,0.00921881,1.60059
5.84503,1.32241,0.0440765,1.60184
5.8618,1.36261,0.032956,1.66724
5.89511,1.30184,0.058588,1.62488
5.91152,1.32418,0.0220383,1.60926
5.92816,1.31383,0.0207581,1.61804
5.94477,1.27282,0.0427579,1.66556
5.96155,1.28961,0.0306754,1.55248
5.97825,1.30188,0.019554,1.57662
5.99466,1.29702,0.0332045,1.67009
6.01127,1.30829,0.00665506,1.66272
6.028,1.3206,0.0279098,1.61394
6.04471,1.29453,0.0355994,1.69752
6.06114,1.33267,0.0134991,1.74527
6.07802,1.30354,0.0377666,1.70533
6.09441,1.33502,0.0279497,1.73733
6.11128,1.29527,0.0242843,1.69228
6.12784,1.29852,0.0108955,1.66307
6.14426,1.35358,0.0212208,1.69301
6.16089,1.31228,0.0149987,1.72087
6.17769,1.30342,0.0132667,1.65359
6.19434,1.28075,0.0409913,1.73611
6.21076,1.2583,0.0543338,1.64869
6.22739,1.28011,0.028787,1.77345
6.24406,1.31422,0.0288717,1.69116
6.26082,1.28871,0.0166124,1.6754
6.27727,1.31887,0.0635621,1.69449
6.29387,1.28811,0.0542168,1.66292
6.31079,1.28296,0.0371342,1.67508
6.32733,1.29344,0.0277673,1.6914
6.34404,1.35848,0.0227995,1.69519
6.36037,1.28698,-0.000903255,1.63894
6.377,1.32435,-0.0166326,1.74408
6.39381,1.29145,-0.010544,1.64255
6.41045,1.29239,0.0294672,1.66837
6.44412,1.35286,0.0026917,1.71469
6.47694,1.26775,0.00369566,1.76822
6.49374,1.3149,0.0641195,1.71394
6.51001,1.31761,0.0135738,1.73249
6.52685,1.34226,-0.0197512,1.74671
6.54345,1.3511,-0.022169,1.70066
6.56006,1.31129,0.00431647,1.66681
6.57648,1.32024,-0.0172653,1.69882
6.59312,1.30388,-0.0118241,1.75331
6.6099,1.29976,-0.0122756,1.74151
6.62646,1.28831,0.00689151,1.65494
6.64299,1.32302,0.0168267,1.69497
6.65961,1.32807,0.0263294,1.7523
6.67622,1.31464,0.0239002,1.69359
6.69306,1.30103,0.0183506,1.71946
6.7097,1.34052,0.0124688,1.68102
6.72611,1.34644,-0.0162598,1.71915
6.75948,1.31655,0.0318328,1.74949
6.77625,1.27429,0.00457212,1.68127
6.79259,1.27787,0.0403474,1.69585
