uwbtime,uwbx,uwby,uwbz
0.857958,1.30897,0.00628013,0.0162889
0.874642,1.29802,0.0068633,0.0273116
0.891247,1.29157,0.00803039,0.0342664
0.924503,1.27946,0.00644478,0.0279675
0.941048,1.27208,0.00549966,0.0414045
0.974198,1.2638,0.0069922,0.0566233
0.990819,1.26142,0.00719706,0.0505544
1.00744,1.26245,0.00303654,0.0566866
1.04071,1.26061,-0.00081436,0.070508
1.05731,1.26057,-0.00258729,0.0823808
1.07394,1.26001,-0.00237668,0.0842564
1.09068,1.26112,-0.00576665,0.0769821
1.10736,1.25686,-0.00707377,0.0695255
1.12381,1.25724,-0.00568663,0.0597554
1.14045,1.25744,-0.00519891,0.0517969
1.15714,1.25667,-0.00723399,0.0595466
1.17383,1.25642,-0.00939528,0.0605689
1.1903,1.2578,-0.00914549,0.058398
1.20693,1.26097,-0.0125498,0.0705121
1.24044,1.25945,-0.0163243,0.0772248
1.2568,1.25911,-0.0126567,0.0642411
1.27342,1.26009,-0.00786178,0.0777896
1.29026,1.26389,-0.00496841,0.0827465
1.30683,1.26123,-0.0080314,0.0744507
1.32351,1.25671,-0.00326215,0.0630259
1.33993,1.26026,-0.00530363,0.0698953
1.3733,1.26584,-0.00355263,0.0743458
1.38998,1.26322,-0.00120939,0.07573
1.40642,1.26993,0.00200925,0.0774141
1.42305,1.27225,-0.000990944,0.0858845
1.43966,1.27153,0.00276841,0.098798
1.47318,1.26631,0.0166146,0.0928751
1.48954,1.25791,0.0223724,0.0892623
1.50617,1.25875,0.0282862,0.0700052
1.52321,1.2563,0.0332774,0.0521896
1.53961,1.25354,0.0323412,0.0356592
1.55604,1.24906,0.0343148,0.0307511
1.57277,1.25149,0.036369,0.0369936
1.58969,1.25603,0.0396953,0.0384809
1.60612,1.25853,0.0362232,0.0369481
1.62253,1.26212,0.0321819,0.0401512
1.63916,1.27607,0.0325589,0.042587
1.67256,1.29244,0.0247851,0.068823
1.68922,1.30101,0.018147,0.0843012
1.72228,1.31178,0.0137714,0.101115
1.73898,1.31537,0.0065359,0.108511
1.75573,1.32179,-0.00199001,0.126234
1.77215,1.32606,-0.00367491,0.124348
1.78878,1.32661,-0.00835518,0.134463
1.80543,1.33035,-0.0119962,0.139269
1.82223,1.33133,-0.0161194,0.15204
1.83864,1.34173,-0.0189164,0.153635
1.8719,1.35304,-0.0196688,0.149677
1.90532,1.36072,-0.0298473,0.163964
1.92176,1.35493,-0.0393783,0.185733
1.93839,1.36003,-0.0424937,0.184081
1.95507,1.36283,-0.0388682,0.193686
1.97208,1.35907,-0.0420118,0.191499
2.00488,1.36569,-0.051957,0.215026
2.02152,1.37198,-0.0547661,0.202199
2.03831,1.37357,-0.0559941,0.19463
2.05476,1.3768,-0.0572152,0.185544
2.07139,1.37056,-0.057187,0.170737
2.08801,1.37512,-0.0590764,0.198514
2.12145,1.3671,-0.0610218,0.193688
2.13787,1.3541,-0.062118,0.193442
2.15452,1.35401,-0.0592041,0.182404
2.17118,1.35163,-0.060574,0.173961
2.18795,1.34764,-0.0597152,0.174852
2.20437,1.34061,-0.060588,0.177198
2.22099,1.33533,-0.0586309,0.171517
2.23762,1.33317,-0.0576553,0.16851
2.2544,1.32164,-0.0564835,0.173171
2.27109,1.32452,-0.0552601,0.168571
2.30412,1.32021,-0.0542417,0.171698
2.32086,1.31463,-0.0503338,0.162628
2.33756,1.31132,-0.0441824,0.170245
2.354,1.30595,-0.0374759,0.167783
2.37063,1.30549,-0.0350029,0.172674
2.38728,1.30381,-0.0354177,0.181952
2.4041,1.30533,-0.0269866,0.170089
2.42048,1.30164,-0.0211899,0.170743
2.43755,1.30186,-0.0149933,0.175882
2.45373,1.30054,-0.0149637,0.169407
2.47049,1.29095,-0.00466975,0.161685
2.48717,1.28757,0.00158552,0.153089
2.5036,1.28538,0.00604393,0.138423
2.52023,1.27859,0.00732286,0.137389
2.53693,1.27489,0.0116703,0.119343
2.55361,1.26728,0.0118298,0.107306
2.5701,1.26117,0.0185619,0.106938
2.58674,1.24719,0.0182579,0.101107
2.62018,1.23029,0.0234967,0.0944009
2.63679,1.21054,0.0315834,0.0874168
2.65322,1.20792,0.0356551,0.0739275
2.66984,1.20395,0.0352791,0.0621569
2.68659,1.20604,0.0429184,0.0675226
2.71973,1.1916,0.0477725,0.0729925
2.73634,1.18148,0.053125,0.0743605
2.75301,1.18081,0.0566634,0.0749469
2.78621,1.16977,0.0557461,0.0681088
2.80307,1.1692,0.0593281,0.078735
2.81947,1.1662,0.0584155,0.0714226
2.83629,1.17251,0.0587461,0.0780005
2.8527,1.17045,0.053086,0.109815
2.86934,1.16837,0.0538413,0.109903
2.88596,1.17321,0.0464322,0.133535
2.90271,1.17044,0.0434533,0.160862
2.93583,1.16759,0.0466353,0.178269
2.96912,1.1741,0.046343,0.188805
2.98589,1.175,0.0460145,0.182619
3.00234,1.1804,0.0510607,0.183255
3.03557,1.17826,0.0600692,0.173519
3.05236,1.18097,0.0602839,0.181157
3.06901,1.18476,0.0607315,0.174513
3.08545,1.18606,0.063819,0.173978
3.10206,1.19127,0.0635109,0.19027
3.11878,1.19362,0.061335,0.19097
3.13552,1.19913,0.0550096,0.200354
3.16871,1.19811,0.055536,0.203423
3.18523,1.19934,0.0495345,0.226891
3.20201,1.19913,0.0470914,0.233774
3.21863,1.1968,0.049285,0.237026
3.23506,1.2003,0.0494897,0.230235
3.26845,1.20104,0.0473674,0.237389
3.28514,1.20943,0.0512508,0.242626
3.31818,1.21324,0.0513564,0.261149
3.35166,1.21551,0.0482866,0.285741
3.36807,1.21614,0.0476484,0.294813
3.38469,1.2264,0.0488741,0.326653
3.41812,1.23024,0.0454361,0.353607
3.43467,1.22837,0.0461112,0.37854
3.4678,1.22112,0.0458788,0.386797
3.48453,1.22127,0.0500304,0.388713
3.50125,1.21857,0.0468539,0.408014
3.51766,1.21614,0.0472339,0.414582
3.53431,1.21392,0.0487674,0.43411
3.55094,1.21139,0.0455477,0.43567
3.56775,1.21339,0.0460751,0.459398
3.58417,1.20901,0.043145,0.465956
3.60079,1.20994,0.0421503,0.487957
3.61741,1.20995,0.0454178,0.494056
3.63419,1.21139,0.0467758,0.511609
3.66729,1.21158,0.0451534,0.514326
3.6839,1.21595,0.0452366,0.519309
3.70066,1.21988,0.0405535,0.533889
3.71733,1.22162,0.0414118,0.536881
3.73419,1.22067,0.0412752,0.551329
3.7504,1.23076,0.0355164,0.576888
3.76705,1.22894,0.0388316,0.576496
3.80047,1.22703,0.0417542,0.601624
3.83353,1.22815,0.0407512,0.626746
3.85028,1.23043,0.0369262,0.631646
3.88341,1.23406,0.0337663,0.649825
3.88341,1.23375,0.0335513,0.661176
3.91675,1.23346,0.0329775,0.67951
3.93345,1.23654,0.0368438,0.683401
3.94989,1.23891,0.0394935,0.684759
3.96651,1.24248,0.0361636,0.700438
3.98315,1.24601,0.0330831,0.712094
3.99996,1.25333,0.0323588,0.723198
4.01658,1.26035,0.0325576,0.736921
4.03303,1.25977,0.0285195,0.747304
4.04975,1.25864,0.026075,0.762623
4.06636,1.25953,0.0283029,0.774428
4.08309,1.26141,0.0279213,0.786725
4.09951,1.26598,0.0275638,0.803956
4.11614,1.2614,0.0235183,0.803663
4.13281,1.26496,0.0229442,0.827928
4.14962,1.2652,0.0223294,0.844872
4.166,1.26327,0.0230742,0.849429
4.18263,1.2635,0.0219093,0.856951
4.19954,1.25947,0.0191123,0.858249
4.21612,1.26297,0.0187361,0.86894
4.23271,1.26257,0.0203648,0.874416
4.24912,1.26558,0.0175184,0.893815
4.26575,1.26241,0.0214688,0.901697
4.28244,1.26461,0.0191565,0.909808
4.29921,1.26128,0.0161227,0.918507
4.31563,1.26497,0.0137761,0.937087
4.33225,1.26562,0.0180173,0.953075
4.34886,1.2665,0.0184759,0.958246
4.36569,1.26417,0.0190179,0.957186
4.38241,1.26266,0.0172117,0.970821
4.39876,1.25855,0.0185187,0.982391
4.41559,1.2667,0.0220601,0.981627
4.4488,1.26695,0.0177891,1.01271
4.46524,1.27341,0.0194903,1.01133
4.49858,1.27023,0.0241929,1.03136
4.51533,1.27846,0.0263024,1.03759
4.53172,1.27096,0.0253422,1.0412
4.54846,1.27413,0.023325,1.05396
4.5653,1.27952,0.0187695,1.08239
4.5818,1.27592,0.021182,1.08652
4.59845,1.27684,0.0195913,1.10308
4.61486,1.27339,0.0181197,1.10496
4.63147,1.27463,0.0170362,1.10092
4.64852,1.27536,0.0175905,1.10912
4.66491,1.27998,0.0167898,1.11294
4.68137,1.27878,0.0203033,1.1251
4.69798,1.28146,0.0190896,1.13701
4.71493,1.28004,0.0172982,1.14666
4.73143,1.27918,0.018488,1.16324
4.74784,1.27485,0.0193428,1.17823
4.76449,1.27764,0.0205513,1.19757
4.78112,1.27549,0.0200334,1.21095
4.79787,1.27225,0.0118875,1.22256
4.81455,1.27035,0.0138944,1.2329
4.83096,1.26945,0.0123521,1.24388
4.84759,1.2695,0.016156,1.24866
4.86463,1.26631,0.0170482,1.24573
4.881,1.26755,0.0179846,1.24776
4.89746,1.27218,0.0161668,1.26259
4.91418,1.26933,0.0182903,1.26439
4.93071,1.26864,0.0163838,1.2628
4.94756,1.26987,0.0153264,1.26526
4.96397,1.26835,0.0152356,1.2644
4.98062,1.26691,0.014649,1.27065
4.9972,1.27198,0.014939,1.27362
5.014,1.27177,0.0162146,1.26787
5.03074,1.27897,0.015972,1.27845
5.04708,1.28058,0.0139525,1.29026
5.06372,1.28103,0.0111114,1.29496
5.08049,1.28067,0.0141813,1.29895
5.09716,1.28365,0.0122658,1.30938
5.11357,1.28965,0.011014,1.32407
5.1302,1.28298,0.0124607,1.3278
5.14683,1.2864,0.00915642,1.34168
5.16397,1.28824,0.0084314,1.34753
5.18034,1.28978,0.0111103,1.35886
5.19669,1.29248,0.0095665,1.36786
5.21351,1.29264,0.0102439,1.36651
5.23036,1.28718,0.0103213,1.37669
5.24678,1.28318,0.00837415,1.38665
5.26319,1.27929,0.0131458,1.38901
5.29683,1.27205,0.0167426,1.4094
5.32968,1.26754,0.0236607,1.4185
5.34633,1.27753,0.0241364,1.42204
5.36293,1.27657,0.0251154,1.43085
5.38005,1.27411,0.0265181,1.43805
5.39669,1.27686,0.0208074,1.44945
5.4128,1.27695,0.0206092,1.4538
5.42945,1.27178,0.0211078,1.45675
5.44614,1.27303,0.0160923,1.4627
5.4629,1.27821,0.0143549,1.46918
5.4793,1.27551,0.0162257,1.47709
5.49592,1.27461,0.0157122,1.48441
5.51258,1.27476,0.0146542,1.49434
5.52938,1.27688,0.0115647,1.49337
5.54602,1.2832,0.00913615,1.50579
5.56242,1.27821,0.00810186,1.5011
5.57904,1.27818,0.00726453,1.49546
5.59586,1.27328,0.00807875,1.49566
5.6125,1.27727,0.00845297,1.50989
5.62891,1.2749,0.0103889,1.51848
5.64554,1.27829,0.010666,1.52712
5.66253,1.27881,0.0083862,1.54738
5.67899,1.27912,0.00628476,1.54763
5.69546,1.28253,0.00391327,1.54661
5.71206,1.28611,0.006242,1.55379
5.72866,1.28512,0.0116594,1.55818
5.77853,1.28943,0.018267,1.58069
5.79517,1.28987,0.0187709,1.56709
5.81196,1.29193,0.019667,1.56978
5.82861,1.29415,0.0188524,1.57738
5.84503,1.29875,0.0217758,1.58387
5.8618,1.30978,0.021079,1.59868
5.89511,1.31078,0.0232859,1.60919
5.91152,1.31331,0.0234617,1.61267
5.92816,1.31305,0.0243689,1.6169
5.94477,1.3078,0.0274213,1.6275
5.96155,1.30673,0.0268026,1.62086
5.97825,1.30832,0.0244002,1.61794
5.99466,1.30847,0.025052,1.62779
6.01127,1.31029,0.0239568,1.63569
6.028,1.31243,0.0247342,1.63619
6.04471,1.31074,0.02529,1.64736
6.06114,1.31408,0.0228976,1.66338
6.07802,1.31295,0.0237302,1.67285
6.09441,1.31639,0.0243671,1.68563
6.11128,1.3129,0.0258112,1.69101
6.12784,1.30891,0.0260119,1.69146
6.14426,1.31327,0.0280007,1.6953
6.16089,1.31168,0.0294634,1.70222
6.17769,1.30944,0.0295951,1.69993
6.19434,1.30576,0.0309826,1.70848
6.21076,1.30047,0.0332864,1.70455
6.22739,1.29858,0.0321255,1.71689
6.24406,1.30126,0.0313778,1.71745
