uwbtime,uwbx,uwby,uwbz
3.10206,1.33782,0.103974,0.344427
3.11878,1.332,0.101214,0.340206
3.13552,1.33423,0.0923391,0.331097
3.16871,1.34297,0.0964701,0.334683
3.18523,1.33821,0.0923978,0.320342
3.20201,1.33118,0.0879303,0.321825
3.21863,1.32524,0.0885197,0.325382
3.23506,1.32946,0.085054,0.318469
3.26845,1.34885,0.0848699,0.313956
3.28514,1.3508,0.0850032,0.319294
3.31818,1.36529,0.0867216,0.33357
3.35166,1.36961,0.0851186,0.348082
3.36807,1.36149,0.0800238,0.351822
3.38469,1.36635,0.0775054,0.359538
3.41812,1.37197,0.0756742,0.375927
3.43467,1.36402,0.0755245,0.388741
3.4678,1.36407,0.0732963,0.409764
3.48453,1.35588,0.0742415,0.415285
3.50125,1.34246,0.0705138,0.417187
3.51766,1.33407,0.0704677,0.422073
3.53431,1.32694,0.0699727,0.433061
3.55094,1.3184,0.0677939,0.435473
3.56775,1.31326,0.0684305,0.439552
3.58417,1.30486,0.0636762,0.445507
3.60079,1.30014,0.0618051,0.452226
3.61741,1.2961,0.0638001,0.456414
3.63419,1.29546,0.0624216,0.468796
3.66729,1.30163,0.0565705,0.490473
3.6839,1.30122,0.0548471,0.503844
3.70066,1.29796,0.0501264,0.511169
3.71733,1.29697,0.0482593,0.528609
3.73419,1.29158,0.0469887,0.541429
3.7504,1.29444,0.0423452,0.558866
3.76705,1.29059,0.0461476,0.564827
3.80047,1.29343,0.049403,0.595128
3.83353,1.29682,0.0501029,0.614419
3.85028,1.29654,0.044585,0.624475
3.88341,1.30098,0.0415958,0.637023
3.90002,1.29289,0.0381102,0.648766
3.91675,1.28865,0.0390944,0.671174
3.93345,1.28623,0.0398995,0.679726
3.94989,1.28491,0.0407085,0.692061
3.96651,1.28252,0.0377916,0.698789
3.98315,1.28416,0.0347442,0.718774
3.99996,1.28688,0.0323907,0.729762
4.01658,1.28708,0.0325433,0.741381
4.03303,1.28405,0.0283227,0.744866
4.04975,1.28408,0.0253855,0.756319
4.06636,1.28416,0.0255036,0.771059
4.08309,1.2853,0.0268668,0.774025
4.09951,1.28924,0.0258147,0.791412
4.11614,1.28704,0.0204126,0.80341
4.13281,1.28955,0.0219339,0.818258
4.14962,1.28823,0.0209798,0.822504
4.166,1.2887,0.0215169,0.839605
4.18263,1.28952,0.0206492,0.851291
4.19954,1.28736,0.0165752,0.857916
4.21612,1.28846,0.0155181,0.863246
4.23271,1.28886,0.0165254,0.877448
4.24912,1.28951,0.0140895,0.892415
4.26575,1.28585,0.0186664,0.90408
4.28244,1.28643,0.0159754,0.914154
4.29921,1.28484,0.0137666,0.919435
4.31563,1.28373,0.013166,0.931586
4.33225,1.28447,0.0166811,0.945278
4.34886,1.28635,0.0158117,0.952434
4.36569,1.28632,0.0141511,0.961854
4.38241,1.28467,0.0126809,0.970257
4.39876,1.28141,0.0161016,0.986258
4.41559,1.2875,0.0194917,0.997756
4.4488,1.29182,0.0159952,1.02205
4.46524,1.29504,0.0155194,1.01993
4.49858,1.29479,0.0159076,1.04813
4.51533,1.29939,0.0179023,1.06135
4.53172,1.29302,0.0188865,1.06708
4.54846,1.29097,0.0173309,1.07849
4.5653,1.28894,0.0138972,1.08165
4.5818,1.28703,0.0171778,1.09514
4.59845,1.28838,0.0171459,1.11031
4.61486,1.28627,0.013609,1.1186
4.63147,1.28568,0.0123103,1.11409
4.64852,1.285,0.0127248,1.12474
4.66491,1.29046,0.0136161,1.13472
4.68137,1.28863,0.0172221,1.13897
4.69798,1.28946,0.0164755,1.13729
4.71493,1.28935,0.0136978,1.15104
4.73143,1.28865,0.0156392,1.16123
4.74784,1.28763,0.0182452,1.17911
4.76449,1.28827,0.0196404,1.19485
4.78112,1.28598,0.0185047,1.19865
4.79787,1.28285,0.0119652,1.21445
4.81455,1.28314,0.0119533,1.22575
4.83096,1.28156,0.0110629,1.23667
4.84759,1.28261,0.0160466,1.23887
4.86463,1.28041,0.0171805,1.24849
4.881,1.28075,0.0149785,1.25457
4.89746,1.28325,0.013073,1.26056
4.91418,1.28281,0.0141605,1.27039
4.93071,1.28251,0.0128657,1.26738
4.94756,1.28603,0.0108355,1.27375
4.96397,1.28448,0.00952775,1.28393
4.98062,1.28104,0.0101441,1.2783
4.9972,1.28417,0.0101666,1.28919
5.014,1.28355,0.00781511,1.29377
5.03074,1.28491,0.00710715,1.294
5.04708,1.2877,0.00465347,1.30667
5.06372,1.28792,0.00265887,1.31406
5.08049,1.28575,0.00708985,1.32114
5.09716,1.28867,0.00505369,1.32694
5.11357,1.29192,0.00464692,1.32387
5.1302,1.2888,0.00664489,1.33521
5.14683,1.2902,0.0061196,1.34514
