uwbtime,uwbx,uwby,uwbz
0.591977,1.27171,-0.0298819,0.099001
0.608458,1.28077,-0.0493019,0.11884
0.625085,1.28796,-0.0659363,0.137867
0.641706,1.29487,-0.0815383,0.156117
0.641706,1.30314,-0.100243,0.174942
0.674962,1.30314,-0.100243,0.174942
0.691593,1.30314,-0.100243,0.174942
0.708202,1.30314,-0.100243,0.174942
0.724949,1.30314,-0.100243,0.174942
0.741617,1.30314,-0.100243,0.174942
0.758092,1.30314,-0.100243,0.174942
0.775035,1.30314,-0.100243,0.174942
0.791401,1.30314,-0.100243,0.174942
0.808125,1.30314,-0.100243,0.174942
0.824589,1.30314,-0.100243,0.174942
0.841195,1.30314,-0.100243,0.174942
0.857958,1.30314,-0.100243,0.174942
0.874642,1.30314,-0.100243,0.174942
0.891247,1.30314,-0.100243,0.174942
0.924503,1.30314,-0.100243,0.174942
0.941048,1.30314,-0.100243,0.174942
0.974198,1.30314,-0.100243,0.174942
0.990819,1.30314,-0.100243,0.174942
1.00744,1.30314,-0.100243,0.174942
1.04071,1.30314,-0.100243,0.174942
1.05731,1.30314,-0.100243,0.174942
1.07394,1.30314,-0.100243,0.174942
1.09068,1.30314,-0.100243,0.174942
1.10736,1.30314,-0.100243,0.174942
1.12381,1.30314,-0.100243,0.174942
1.14045,1.30314,-0.100243,0.174942
1.15714,1.30314,-0.100243,0.174942
1.17383,1.30314,-0.100243,0.174942
1.1903,1.30314,-0.100243,0.174942
1.20693,1.30314,-0.100243,0.174942
1.24044,1.28887,-0.0424396,0.157031
1.2568,1.28135,-0.0191553,0.138576
1.27342,1.27746,-0.00879381,0.123345
1.29026,1.27648,-0.00399125,0.110809
1.30683,1.27536,-0.00367289,0.0996442
1.32351,1.27331,-0.0024067,0.0896064
1.33993,1.2725,-0.00253483,0.0816696
1.3733,1.27368,-0.00169128,0.0756736
1.38998,1.27358,-0.00035752,0.0714156
1.40642,1.27554,0.00164163,0.068641
1.42305,1.27767,0.00190887,0.0677596
1.43966,1.27927,0.00427872,0.0691988
1.47318,1.28087,0.0101484,0.0735621
1.48954,1.27832,0.0154557,0.0750578
1.50617,1.27677,0.0205036,0.0749861
1.52321,1.27494,0.0252211,0.0734077
1.53961,1.27267,0.0275138,0.0703541
1.55604,1.26935,0.0296968,0.0670629
1.57277,1.26743,0.0320219,0.0645262
1.58969,1.26736,0.0347459,0.0622712
1.60612,1.26804,0.0349488,0.0598594
1.62253,1.26943,0.0333899,0.0577928
1.63916,1.27399,0.0326124,0.0564163
1.67256,1.28408,0.0293308,0.0573544
1.68922,1.29182,0.0262618,0.0584057
1.72228,1.30217,0.022592,0.0605104
1.73898,1.30872,0.0178764,0.063264
1.75573,1.31518,0.0119118,0.0674582
1.77215,1.32109,0.00712243,0.0715186
1.78878,1.32546,0.00226111,0.0764028
1.80543,1.32977,-0.00237151,0.0815726
1.82223,1.33309,-0.00685231,0.0877265
1.83864,1.33811,-0.010771,0.0937751
1.8719,1.34592,-0.0136274,0.0993768
1.90532,1.35332,-0.0182683,0.10537
1.92176,1.3555,-0.0237906,0.11265
1.93839,1.35855,-0.0286506,0.119302
1.95507,1.36151,-0.0304463,0.126426
1.97208,1.36288,-0.0330781,0.13286
2.00488,1.36585,-0.0375294,0.140501
2.02152,1.36939,-0.0414849,0.146401
2.03831,1.37257,-0.0447614,0.151306
2.05476,1.37587,-0.0476462,0.155094
2.07139,1.3765,-0.0498351,0.157411
2.08801,1.37658,-0.0508492,0.161616
2.12145,1.37456,-0.0514153,0.165374
2.13787,1.36941,-0.0523954,0.168437
2.15452,1.36587,-0.0522362,0.170154
2.17118,1.36274,-0.0528366,0.170755
2.18795,1.35924,-0.0528656,0.171288
2.20437,1.35451,-0.0531577,0.171883
2.22099,1.34957,-0.0526632,0.17182
2.23762,1.34546,-0.0520045,0.17131
2.2544,1.33892,-0.0509831,0.171307
2.27109,1.33507,-0.0499126,0.17085
2.30412,1.33122,-0.0476763,0.171093
2.32086,1.3275,-0.0456806,0.170243
2.33756,1.32382,-0.0419844,0.170249
2.354,1.31971,-0.0371949,0.170173
2.37063,1.31671,-0.033094,0.170544
2.38728,1.31407,-0.0304693,0.171773
2.4041,1.31301,-0.0257341,0.171913
2.42048,1.31117,-0.0204555,0.172159
2.43755,1.31005,-0.014543,0.172995
2.45373,1.30912,-0.0111715,0.17295
2.47049,1.30566,-0.00516807,0.172422
2.48717,1.30241,0.00076633,0.171126
2.5036,1.29977,0.00572866,0.168444
2.52023,1.29585,0.00919734,0.165928
2.53693,1.29228,0.0125067,0.161966
2.55361,1.28761,0.0141445,0.15725
2.5701,1.28252,0.0176252,0.153102
2.58674,1.27618,0.0188581,0.149553
2.62018,1.2675,0.0220252,0.146986
2.63679,1.25592,0.0257084,0.143394
2.65322,1.24692,0.0290729,0.13871
2.66984,1.23948,0.0306918,0.133209
2.68659,1.23465,0.0345381,0.128582
2.71973,1.22769,0.0396068,0.126032
2.73634,1.22009,0.0438054,0.122956
2.75301,1.21443,0.0477418,0.120089
2.78621,1.20823,0.0509635,0.117963
2.80307,1.20356,0.0534651,0.115805
2.81947,1.19928,0.0547128,0.113112
2.83629,1.19779,0.0558884,0.111096
2.8527,1.19553,0.0551162,0.111953
2.86934,1.19337,0.0547808,0.112963
2.88596,1.19307,0.0521122,0.115898
2.90271,1.19268,0.050204,0.121022
2.93583,1.19205,0.0516717,0.12924
2.96912,1.19416,0.0527609,0.137658
2.98589,1.19548,0.0519308,0.143329
3.00234,1.19743,0.0532583,0.148743
3.03557,1.19941,0.0579998,0.155163
3.05236,1.20071,0.0601292,0.159724
3.06901,1.20252,0.0614021,0.163379
3.08545,1.20385,0.0632402,0.166661
3.10206,1.2059,0.0646014,0.171118
3.11878,1.20793,0.0645815,0.175253
3.13552,1.21047,0.0618157,0.179477
3.16871,1.21313,0.0614347,0.185781
3.18523,1.21404,0.0583934,0.191392
3.20201,1.21442,0.0555739,0.197315
3.21863,1.21378,0.054521,0.203257
3.23506,1.21429,0.0531174,0.207924
3.26845,1.21601,0.0527696,0.215512
3.28514,1.21813,0.0533218,0.220311
3.31818,1.22155,0.0554937,0.228932
3.35166,1.22474,0.056599,0.238858
3.36807,1.22591,0.0560771,0.245713
3.38469,1.2292,0.0572736,0.255031
3.41812,1.23372,0.0588116,0.268866
3.43467,1.23499,0.0596747,0.280855
3.4678,1.23569,0.0614796,0.295973
3.48453,1.23505,0.0625243,0.306756
3.50125,1.23361,0.0622199,0.318424
3.51766,1.23166,0.0617509,0.329763
3.53431,1.22929,0.0620427,0.342205
3.55094,1.22695,0.0606225,0.353826
3.56775,1.2256,0.0600148,0.366884
3.58417,1.22321,0.0581267,0.379386
3.60079,1.22167,0.0566371,0.393112
3.61741,1.2208,0.0566874,0.406337
3.63419,1.221,0.0575408,0.420178
3.66729,1.22307,0.0585217,0.436769
3.6839,1.22483,0.0578572,0.447997
3.70066,1.22713,0.0556837,0.459595
3.71733,1.22935,0.0543808,0.470514
3.73419,1.23058,0.0535775,0.481996
3.7504,1.23427,0.0509145,0.494519
3.76705,1.23654,0.0501911,0.506194
3.80047,1.23919,0.0522562,0.523951
3.83353,1.24172,0.0537631,0.541968
3.85028,1.24297,0.0517859,0.553754
3.88341,1.24636,0.0510149,0.570966
3.90002,1.24609,0.0479258,0.582121
3.91675,1.24558,0.045892,0.594308
3.93345,1.24616,0.0458761,0.606059
3.94989,1.24725,0.0465681,0.616713
3.96651,1.24896,0.045919,0.628047
3.98315,1.25122,0.0444043,0.639602
3.99996,1.25508,0.0432508,0.651321
4.01658,1.25998,0.0426966,0.663465
4.03303,1.26312,0.0408039,0.675462
4.04975,1.2648,0.038793,0.688197
4.06636,1.26625,0.0385433,0.701141
4.08309,1.26785,0.0383448,0.714242
4.09951,1.27025,0.038226,0.727601
4.11614,1.27057,0.0362158,0.739721
4.13281,1.27163,0.0350924,0.753337
4.14962,1.2723,0.0343101,0.767617
4.166,1.27211,0.033898,0.780678
4.18263,1.27212,0.0331391,0.793305
4.19954,1.27097,0.031309,0.804819
4.21612,1.2713,0.0300413,0.816263
4.23271,1.27152,0.0298545,0.827246
4.24912,1.27242,0.0287328,0.838904
4.26575,1.2721,0.0296577,0.850569
4.28244,1.27271,0.0292111,0.861777
4.29921,1.27212,0.0276984,0.872816
4.31563,1.27278,0.0259297,0.884393
4.33225,1.27342,0.0267864,0.896788
4.34886,1.27437,0.0274328,0.908432
4.36569,1.27454,0.0278642,0.91878
4.38241,1.27407,0.0275212,0.929521
4.39876,1.27231,0.0278921,0.940213
4.41559,1.27332,0.0292034,0.950056
4.4488,1.27547,0.0301499,0.968053
4.46524,1.27776,0.0298901,0.977158
4.49858,1.27999,0.0328269,0.993613
4.51533,1.28291,0.0342865,1.00286
4.53172,1.28274,0.0345629,1.01143
4.54846,1.28355,0.0340277,1.02058
4.5653,1.28544,0.0323389,1.03176
4.5818,1.2858,0.0318557,1.04249
4.59845,1.28622,0.0309185,1.05404
4.61486,1.2855,0.0293772,1.06441
4.63147,1.28572,0.0275672,1.0733
4.64852,1.28618,0.0265274,1.08225
4.66491,1.28808,0.0252856,1.09046
4.68137,1.28884,0.0260102,1.09921
4.69798,1.2902,0.026101,1.1085
4.71493,1.29067,0.0255727,1.11802
4.73143,1.29052,0.0259777,1.1285
4.74784,1.28873,0.0266815,1.13945
4.76449,1.28828,0.0278644,1.15149
4.78112,1.28724,0.0284577,1.16381
4.79787,1.28547,0.0254737,1.176
4.81455,1.28365,0.0245121,1.18817
4.83096,1.28206,0.0232398,1.19992
4.84759,1.2812,0.0238654,1.21105
4.86463,1.2799,0.024256,1.22062
4.881,1.27963,0.0247198,1.22911
4.89746,1.28091,0.024436,1.238
4.91418,1.28107,0.0250588,1.24627
4.93071,1.28123,0.02443,1.2533
4.94756,1.28191,0.0235587,1.25983
4.96397,1.28199,0.0228688,1.26518
4.98062,1.28157,0.0222484,1.27083
4.9972,1.28318,0.0218819,1.27612
5.014,1.28451,0.0219307,1.28026
5.03074,1.28775,0.0219959,1.28502
5.04708,1.2902,0.021295,1.29034
5.06372,1.29205,0.0196386,1.29582
5.08049,1.29324,0.0198164,1.30142
5.09716,1.29493,0.0192078,1.30759
5.11357,1.2978,0.0184011,1.31451
5.1302,1.29748,0.0184267,1.32151
5.14683,1.29813,0.0171388,1.32923
5.16397,1.29915,0.0159744,1.33681
5.18034,1.30019,0.0164434,1.34477
5.19669,1.30164,0.0161135,1.35259
5.21351,1.30282,0.0160097,1.35947
5.23036,1.30157,0.0161336,1.36685
5.24678,1.29919,0.0154352,1.37458
5.26319,1.29652,0.0170321,1.38159
5.29683,1.29352,0.0211587,1.39558
5.32968,1.29067,0.0263111,1.40875
5.34633,1.29067,0.0286545,1.41567
5.36293,1.29016,0.0304733,1.42286
5.38005,1.28891,0.0320464,1.43025
5.39669,1.28867,0.0308692,1.43781
5.4128,1.28851,0.0298174,1.44481
5.42945,1.28687,0.0291372,1.45168
5.44614,1.28624,0.0264873,1.45835
5.4629,1.28752,0.0239571,1.46489
5.4793,1.2874,0.022987,1.47146
5.49592,1.28707,0.0221024,1.47817
5.51258,1.28689,0.0211118,1.48524
5.52938,1.28769,0.0189945,1.49123
5.54602,1.29021,0.0167891,1.49777
5.56242,1.29043,0.0146834,1.50286
5.57904,1.29086,0.0127704,1.50665
5.59586,1.28968,0.0118773,1.51013
5.6125,1.28998,0.0117569,1.51476
5.62891,1.28922,0.0126352,1.51977
5.64554,1.28976,0.0134764,1.52517
5.66253,1.28998,0.013588,1.53232
5.67899,1.29037,0.0127855,1.53856
5.69546,1.29192,0.0111743,1.54361
5.71206,1.29418,0.0112759,1.54899
5.72866,1.29534,0.0135231,1.55445
5.77853,1.29967,0.0198601,1.56974
5.79517,1.30147,0.021793,1.57396
5.81196,1.3032,0.0232539,1.57798
5.82861,1.30483,0.0239338,1.58229
5.84503,1.3071,0.02542,1.58659
5.8618,1.31165,0.02623,1.59187
5.89511,1.31619,0.028669,1.60157
5.91152,1.31896,0.0290628,1.60661
5.92816,1.32077,0.0295564,1.6117
5.94477,1.32014,0.0310523,1.61763
5.96155,1.31954,0.0313272,1.62219
5.97825,1.31969,0.0302599,1.62576
5.99466,1.31945,0.0298491,1.62985
6.01127,1.31967,0.0291663,1.63437
6.028,1.32056,0.0289368,1.63844
6.04471,1.32034,0.029178,1.64341
6.06114,1.32083,0.0285311,1.64939
6.07802,1.32064,0.0285372,1.65598
6.09441,1.32143,0.0289112,1.66323
6.11128,1.32086,0.029741,1.67051
6.12784,1.31924,0.0301902,1.677
